Student_ID,Name,Class,Math,Science,English,History,Geography
S0001,John Taylor,10,70.7,81.6,83.9,85.3,91.1
S0002,Ava Johnson,8,43.3,42.5,53.4,52.5,61.6
S0003,Sarah Taylor,9,50.5,41.2,60.4,43.2,49.5
S0004,John Davis,9,63.2,61.7,67.8,71.6,78.8
S0005,Emma Smith,10,75.6,85.1,89.1,73.4,81.8
S0006,David Clark,8,59.9,82.6,70.4,69.9,56.2
S0007,Ava Taylor,9,41.3,55.7,44.7,51.3,50.2
S0008,Ava Taylor,8,54.2,28.5,41.1,55.5,44.8
S0009,David Wilson,10,47.9,53.9,62.0,45.5,63.3
S0010,Noah Johnson,9,37.2,44.6,30.6,44.5,48.8
S0011,David Brown,9,63.5,54.8,69.5,64.8,72.8
S0012,Emma Clark,9,79.9,81.0,77.4,79.6,85.4
S0013,Noah Davis,8,67.8,73.9,79.5,69.0,66.5
S0014,Sarah Taylor,10,33.9,33.6,36.3,26.1,21.2
S0015,David Johnson,9,55.1,51.9,56.9,64.5,48.4
S0016,Sarah Wilson,8,63.1,67.7,66.9,54.3,55.8
S0017,John Lee,9,82.7,81.8,100.0,91.9,98.6
S0018,Olivia Smith,10,43.8,40.3,38.0,47.2,25.2
S0019,Noah Taylor,10,65.2,68.3,65.2,66.2,54.8
S0020,Michael Davis,9,90.5,92.8,95.8,84.8,90.7
S0021,Emma Taylor,8,87.1,68.6,74.3,78.0,70.9
S0022,Ava Brown,9,67.4,81.5,74.1,70.2,69.1
S0023,John Clark,9,69.0,75.0,70.7,67.4,64.5
S0024,Sarah Clark,9,70.4,81.2,72.5,82.0,84.5
S0025,Ava Taylor,8,77.0,84.8,78.3,84.3,83.1
S0026,Noah Wilson,9,51.5,61.1,47.3,58.8,48.0
S0027,Michael Johnson,9,80.3,85.3,93.0,94.7,78.9
S0028,Sarah Smith,10,50.2,45.6,35.0,37.8,43.2
S0029,David Wilson,9,81.7,71.4,74.1,62.8,64.5
S0030,Ava Davis,9,68.2,66.4,65.7,62.5,62.1
S0031,Olivia Davis,9,62.1,45.8,69.6,53.5,63.6
S0032,Michael Clark,8,59.4,57.4,57.8,46.2,61.7
S0033,Sarah Brown,8,61.6,53.2,49.6,53.8,46.7
S0034,Olivia Brown,10,42.2,50.2,40.5,43.9,47.9
S0035,John Johnson,10,68.5,71.3,62.3,66.0,60.7
S0036,Noah Wilson,10,65.4,47.4,36.8,50.6,32.0
S0037,Sarah Wilson,9,69.6,78.6,66.7,65.8,70.2
S0038,Ava Johnson,8,29.5,55.6,29.8,51.7,53.9
S0039,Michael Wilson,10,72.4,74.9,78.7,82.6,80.4
S0040,David Davis,9,56.4,51.3,42.5,40.3,64.3
S0041,Olivia Johnson,8,60.8,54.4,44.4,52.4,66.3
S0042,Emma Taylor,10,57.4,66.0,64.1,37.6,67.0
